mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name
0.2865021547067741,0.3480212119522722,27.504206851850313,0.6286830902099609,95.0,0.13608606656392416,10901479797.575096,95.0,158.92219366776317,0.8382829029793667,-0.6238351225195918,1.0,37.39791508009132,22.5,6.5,5.5,35.75,70.0,7.752715873721172e-06,0.0,3.5680282053363044e-06,1.0,1.0,1.0,coarse_b22.5_wc6.5_wo35.75_r70
0.28298706829070613,0.34503899876436783,27.16675855590779,0.6541262567043304,95.0,0.12185327212015788,11078355449.607254,95.0,143.5360197368421,0.862244340532222,-0.6137055164529787,1.0,37.39853630096208,15.0,8.0,3.5,28.0,70.0,1.8978101934408187e-06,0.0,1.3374634363572113e-05,1.0,1.0,1.0,coarse_b15_wc8_wo28_r70
0.29916889651534717,0.3614918871677254,28.72021406547333,0.6440575420856476,95.0,0.18752564324273002,11315785559.50206,95.0,345.8086759868421,0.8096668056823467,-0.790212549669994,1.0,37.4079875403988,15.0,4.0,5.5,22.0,70.0,-1.1048406634017738e-07,0.0,1.8868155166273937e-05,1.0,1.0,1.0,coarse_b15_wc4_wo22_r70
0.3016008313619499,0.36462035846452856,28.95367981074719,0.6575400829315186,95.0,0.1580405897564358,10975884697.203367,95.0,128.71084498355262,0.8704384726145463,-0.6205124176283522,1.0,37.41722118315921,15.0,8.0,2.5,20.0,70.0,2.515502046662732e-06,0.0,1.6377489373553544e-05,1.0,1.0,1.0,coarse_b15_wc8_wo20_r70
0.2502499476461608,0.3415776820999826,24.02399497403144,0.7736489474773407,88.0,0.025250507725609675,14530320841.212038,88.0,364.2704769736842,1.0829289722459532,-0.7833195479712294,0.0,37.41785008008871,22.5,6.5,4.5,29.25,70.0,-4.7055904701664986e-06,0.0,3.0135775887174532e-05,1.0,1.0,1.0,coarse_b22.5_wc6.5_wo29.25_r70
0.28400217880421746,0.35444657935993146,27.264209165204875,0.7242498099803925,95.0,0.12605471081203884,13457708592.766441,95.0,359.9769942434211,0.9553737828604867,-0.8020140876501953,1.0,37.41962149490245,15.0,5.5,3.5,19.25,70.0,-3.837956086272243e-07,0.0,5.57848579774145e-07,1.0,1.0,1.0,coarse_b15_wc5.5_wo19.25_r70
0.2837488541096202,0.36297535827938493,27.239889994523537,0.7733635008335114,95.0,0.10352619489034016,13863599960.463936,95.0,351.80310444078947,1.0146720387007382,-0.8026649408687061,0.0,37.432336389288594,15.0,5.5,2.5,13.75,70.0,-0.00011228625328385533,0.0,0.001120236236602068,1.0,1.0,1.0,coarse_b15_wc5.5_wo13.75_r70
0.30462223734644783,0.3773865698972944,29.243734785258994,0.7544673979282379,95.0,0.15868197547064888,13474351688.747053,95.0,348.8228618421053,0.9422069323312694,-0.8165260277429751,1.0,37.43760200675871,22.5,5.5,4.5,24.75,70.0,1.0876610964771771e-05,0.0,5.846182830282487e-05,1.0,1.0,1.0,coarse_b22.5_wc5.5_wo24.75_r70
0.22146465177574015,0.29245354688660985,21.260606570471055,0.5339166522026062,95.0,0.47907327281104195,19578437482.934345,95.0,380.680078125,1.2485558694267596,-0.7927790993174693,0.0,37.441429956425736,15.0,2.5,7.0,17.5,70.0,0.16960340817604447,0.0,0.3721005916595459,1.0,1.0,1.0,coarse_b15_wc2.5_wo17.5_r70
0.3420374798264992,0.4156103571199838,32.83559806334392,0.7954652607440948,95.0,0.23211885823143852,13661196989.169289,95.0,355.89453125,0.9760794510579497,-0.8607979107034858,1.0,37.47788392391338,22.5,6.5,3.5,22.75,70.0,-4.025845289135077e-06,0.0,8.951805648393929e-05,1.0,1.0,1.0,coarse_b22.5_wc6.5_wo22.75_r70
0.358028976685335,0.4291117748144409,34.37078176179216,0.7533109486103058,95.0,0.27800679206848145,12378718741.990051,95.0,364.4804070723684,0.8931783982644104,-0.8724723863913212,1.0,37.47890079356236,15.0,6.5,2.5,16.25,70.0,-3.7948300928292156e-06,0.0,2.400553285042406e-06,1.0,1.0,1.0,coarse_b15_wc6.5_wo16.25_r70
0.2323811020619715,0.31151976918478014,22.308585797949263,0.39913254976272583,95.0,0.3461707565519545,22124080131.84319,95.0,393.6344880756579,1.5328098489310749,-0.8516480817738454,0.0,37.483409882323095,37.5,5.5,4.5,24.75,70.0,0.004012974169654626,0.0,0.0012058948632329702,1.0,1.0,1.0,coarse_b37.5_wc5.5_wo24.75_r70
0.35835135396244056,0.4270366829628171,34.40172998039429,0.7592337429523468,95.0,0.23793081442515054,11334505259.872936,95.0,468.8653166118421,0.9551848976309295,-0.9540680595170242,1.0,37.48403732107974,22.5,8.0,4.5,36.0,70.0,3.106907598748876e-06,0.0,5.660095666826237e-06,1.0,1.0,1.0,coarse_b22.5_wc8_wo36_r70
0.35184624180118124,0.44251248668843685,33.7772392129134,0.9001329839229584,95.0,0.17472867170969644,14862587031.857855,95.0,575.1363589638158,1.1255394945889776,-1.0572147232050852,0.0,37.51456299364246,37.5,8.0,4.5,36.0,70.0,4.467193741675146e-05,0.0,0.000447347410954535,1.0,1.0,1.0,coarse_b37.5_wc8_wo36_r70
0.39768468657217443,0.4733710800300775,38.17772991092875,0.7742828726768494,95.0,0.3626026444964939,10889295285.341343,95.0,204.96301398026316,0.8797385165030478,-0.7854642126037273,0.0,37.51634567781969,37.5,5.5,7.0,38.5,70.0,2.2845512148705893e-07,0.0,4.8101210268214345e-06,1.0,1.0,1.0,coarse_b37.5_wc5.5_wo38.5_r70
0.39946933981438093,0.47516730489497744,38.34905662218057,0.7770341038703918,95.0,0.36582770612504745,10910168525.554283,95.0,94.21188322368421,0.8699230644373527,-0.6983054233694915,0.0,37.516531243888124,30.5,6.5,4.5,29.25,70.0,-1.334047837531216e-06,0.0,1.633342617424205e-05,1.0,1.0,1.0,coarse_b30.5_wc6.5_wo29.25_r70
0.403267753046291,0.47922085564068634,38.713704292443936,0.7743545174598694,95.0,0.3570733732647366,10853787748.462624,95.0,233.1336759868421,0.9035962411895481,-0.8074572493186375,0.0,37.52381741760044,22.5,5.5,7.0,38.5,70.0,-2.562223414770415e-06,0.0,1.6734717064537108e-05,1.0,1.0,1.0,coarse_b22.5_wc5.5_wo38.5_r70
0.4140126682088005,0.48963953620966744,39.74521614804485,0.7924580872058868,95.0,0.34723468621571857,11103633942.716976,95.0,346.2343236019737,0.9322282893659124,-0.9103132775712913,0.0,37.53556645860334,30.5,8.0,4.5,36.0,70.0,7.439409614562464e-06,0.0,1.6812078683869913e-05,1.0,1.0,1.0,coarse_b30.5_wc8_wo36_r70
0.2585398837539567,0.3445985637065948,24.81982884037984,0.6154886484146118,95.0,0.581631686952379,22269394872.805637,95.0,386.53978207236844,1.630647844642304,-0.8881855336007196,0.0,37.54467467141025,45.0,5.5,5.5,30.25,70.0,0.03567810747153999,0.0,0.0011394706089049578,1.0,1.0,1.0,coarse_b45_wc5.5_wo30.25_r70
0.42304973982887145,0.5043969594736247,40.61277502357166,0.8312984108924866,95.0,0.4041160609987047,11742985227.175652,95.0,427.6752569901316,0.9114084929979215,-0.9894409329545528,0.0,37.547694802723704,30.5,6.5,5.5,35.75,70.0,6.522370085804141e-06,0.0,5.209737082623178e-06,1.0,1.0,1.0,coarse_b30.5_wc6.5_wo35.75_r70
0.33349552761991913,0.40398492330088126,32.015570651512235,0.3937377631664276,95.0,0.6003883183002472,21019165509.23133,95.0,566.1928042763158,1.3695550237382157,-1.048446398617467,0.0,37.55022988762755,30.5,8.0,2.5,20.0,70.0,-0.028367887949571013,0.0,0.1596871316432953,1.0,1.0,1.0,coarse_b30.5_wc8_wo20_r70
0.4316177215840919,0.5133188984120163,41.43530127207282,0.8262037038803101,95.0,0.4258224434322781,10941140507.497604,95.0,139.81228412828946,0.8895201686641928,-0.7679737216135333,0.0,37.55266683329525,37.5,6.5,5.5,35.75,70.0,2.9616553192113315e-06,0.0,3.759068204089999e-05,1.0,1.0,1.0,coarse_b37.5_wc6.5_wo35.75_r70
0.4433006900210117,0.5288476059934697,42.55686624201712,0.865119993686676,95.0,0.4366797473695543,12097358639.826607,95.0,363.7357319078947,0.9445176717679772,-0.9640620696095906,0.0,37.57344075172911,22.5,8.0,2.5,20.0,70.0,4.2142975509307234e-06,0.0,7.061549695208669e-06,1.0,1.0,1.0,coarse_b22.5_wc8_wo20_r70
0.4489614684892989,0.5347563246449184,43.1003009749727,0.8720319867134094,95.0,0.44641416602664524,11761931458.522085,95.0,362.1284745065789,0.9534153030643767,-0.9685451862605133,0.0,37.58007434072862,30.5,8.0,3.5,28.0,70.0,-3.5238115287938854e-06,0.0,5.920974217588082e-06,1.0,1.0,1.0,coarse_b30.5_wc8_wo28_r70
0.48190052765657043,0.5775194072099052,46.26245065503076,0.9121508598327637,95.0,0.5385887093014188,13088343998.01672,95.0,611.9626953125,0.9389044104739446,-1.199881455764966,0.0,37.61618155500862,22.5,5.5,5.5,30.25,70.0,4.3288593587931246e-05,0.0,2.7449246772448532e-05,1.0,1.0,1.0,coarse_b22.5_wc5.5_wo30.25_r70
0.48950769687812823,0.5855821675783042,46.99273890030031,0.91288161277771,95.0,0.5400927331712511,10790756147.789745,95.0,107.95113075657895,0.9670591965952434,-0.8063335598021591,0.0,37.62649566194223,15.0,5.5,4.5,24.75,70.0,-7.497851228777108e-07,0.0,2.0873154426226392e-05,1.0,1.0,1.0,coarse_b15_wc5.5_wo24.75_r70
0.5001189270804479,0.5938318810658382,48.011416999723,0.9197610020637512,95.0,0.5304238796234131,10992316164.41873,95.0,120.054296875,0.9625231974921152,-0.8301559309656886,0.0,37.63183893003726,22.5,8.0,3.5,28.0,70.0,-2.4868203581718262e-05,0.0,1.6739702914492227e-05,1.0,1.0,1.0,coarse_b22.5_wc8_wo28_r70
0.42430858153623063,0.539446321745473,40.73362382747814,0.3584388196468353,95.0,0.8623490267329745,21514561929.729076,95.0,662.6730571546053,1.3465028618816426,-1.2137343021039386,0.0,37.659689321081075,45.0,5.5,7.0,38.5,70.0,-0.006165353552205488,0.0,0.11028987169265747,1.0,1.0,1.0,coarse_b45_wc5.5_wo38.5_r70
0.4878655974191564,0.6859301818254793,46.83509735223902,0.13255110383033752,95.0,1.2537698249022167,14094418018.471188,95.0,161.41472039473683,1.1113369651832017,-0.882430592713769,0.0,37.744487872334105,15.0,4.0,2.5,10.0,70.0,1.294310055754977e-05,0.0,1.3594055417343043e-05,1.0,1.0,1.0,coarse_b15_wc4_wo10_r70
