method,success_rate,collision_rate,occupancy_error,formation_error,episode,reward,actor_loss,critic_loss,stage_index,recovery_score,target_reward,avoidance_reward,collaboration_reward,recovery_reward,smoothness_penalty,consistency_penalty,success_bonus
td_only_priority,0.0,0.0,1.6958118152618409,0.09822467708587647,0.0,26.800673330255513,-0.8524608016014099,0.04371585347689688,0.0,0.7999999999999998,0.008292794704437256,0.9617829129695891,1.5185890896081928,4.43426867377758,0.018594168543486226,0.014551323797880005,0.0
td_only_priority,1.0,0.0,0.35440459087491033,0.013196750164031984,1.0,46.14825319640564,-1.0234633949067857,0.08718150736469972,0.0,0.9291190818250179,0.4028759015202521,0.9633254262953993,1.5926624263718727,4.589096614874899,0.017464736893212495,0.0,0.38
td_only_priority,0.0,0.0,1.3938022947311401,0.10013563609123231,2.0,26.937710086231515,-1.4064023303985596,0.0445437965542078,0.0,0.7999999999999998,0.011097750663757322,0.9623780894279479,1.5176591469883918,4.435359830617906,0.01849198034279366,0.0,0.0
td_only_priority,0.0,0.0,0.8105640995502472,0.03529856252670288,3.0,31.232533962037582,-1.7114002418518066,0.0472335615940392,0.0,0.838864886045456,0.1305233163833618,0.9629847124814986,1.5734783864140511,4.436471972882748,0.02128431626498165,0.0,0.0
high_old_mix,0.0,0.0,1.5609806156158448,0.07483998084068298,0.0,26.92207531533993,-0.35867655128240583,0.037095216789135806,0.0,0.7999999999999998,0.010557778358459472,0.9622623810768124,1.5390254608750344,4.435147698640822,0.01722272435238812,0.0,0.0
high_old_mix,0.0,0.0,0.5712619453668595,0.11664267921447756,1.0,35.89357827210998,-0.6326252553198073,0.02950627876347617,0.0,0.8857476109266281,0.26002651917934405,0.9610872974395757,1.5021222363471984,4.4329933786392255,0.016334172545434168,0.0,0.0
high_old_mix,0.0,0.0,1.1335915756225585,0.29040497025847434,2.0,26.506499763619576,-0.8640698432922364,0.01100329571403563,0.0,0.7999999999999998,-0.00047519159317016655,0.9605039398670202,1.353743705125153,4.431923889756207,0.01698416939087757,0.0,0.0
high_old_mix,0.0,0.0,0.8511206901073456,0.09350933694839479,3.0,30.313690024324664,-1.144730019569397,0.016109495870769024,0.0,0.8314070370197296,0.10452750688791271,0.9622660084962849,1.523160740172863,4.435154348909857,0.015056579274830801,0.0,0.0
contribution_only_priority,0.0,0.0,0.666291036605835,0.2528830687999725,0.0,33.81468608831525,-0.5147734194993973,0.10596789179467841,0.0,0.8667417926788329,0.20403530555963514,0.960878223896027,1.386073986065388,4.432610077142717,0.02112550996953998,0.020871667404870377,0.0
contribution_only_priority,0.0,0.0,1.6163906621932984,0.01490384912490845,1.0,27.046239591648543,-0.6195457908842299,0.013983071536610001,0.0,0.7999999999999998,0.014150844573974608,0.9630323238372799,1.5908694393873213,4.436559260368347,0.02063659380615522,0.0,0.0
