mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,hold_steady_state_error,name
0.07042008385598326,0.07642849163162406,8.450410062717992,0.061483681201934814,119.0,0.04878841837247213,25162959982.338287,119.0,16.726541983981093,0.18481419195215265,-0.524715445485736,1.0,0.09759563411019444,27.45,1.5,9.68,14.52,78.4,0.10657911002635956,0.0,0.08852940052747726,0.0,0.0,0.0,0.03587143123149872,refine_r_scan_r70_b0.90_wc1.00_k0.88_r1.12
0.06795854464732164,0.07343377595793935,8.155025357678596,0.07621818780899048,119.0,0.06645203133424123,25156892132.595066,119.0,4.441049271271009,0.18395918707870274,-0.5077626287466261,1.0,0.09783528442356514,32.940000000000005,1.62,9.68,15.681600000000001,70.0,0.07944215227325913,0.0,0.12522023916244507,0.0,0.0,0.0,0.04451719174782435,refine_r_scan_r70_b1.08_wc1.08_k0.88_r1.00
0.06788880736936752,0.07293671193687119,8.146656884324102,0.0657532811164856,119.0,0.06156409283479055,25185147213.625244,119.0,24.049825203518907,0.19169973608536275,-0.536450714436883,1.0,0.0978847441741602,27.45,1.62,10.559999999999999,17.1072,78.4,0.013723162526730448,0.0,0.13310039043426514,0.0,0.0,0.0,0.0435684472322464,refine_r_scan_r70_b0.90_wc1.08_k0.96_r1.12
0.06798837350496001,0.07277908555049334,8.158604820595201,0.07378864288330078,119.0,0.0665389100710551,25168284505.118004,119.0,4.666011521796219,0.1872768702635591,-0.4919639990766098,1.0,0.09799601126955826,29.89,1.62,9.68,15.681600000000001,66.5,0.05093228165060282,0.0,0.1480581909418106,0.0,0.0,0.0,0.0458390141526858,refine_r_scan_r70_b0.98_wc1.08_k0.88_r0.95
0.06868176128894561,0.07350956056955663,8.241811354673473,0.07151758670806885,119.0,0.06554801265398662,25166860066.898254,119.0,4.2712545955882355,0.1853943157905836,-0.4916557307953789,1.0,0.0981556947910515,30.5,1.62,12.100000000000001,19.602000000000004,66.5,0.03706600021541817,0.0,0.1508689969778061,0.0,0.0,0.0,0.0454629510641098,refine_r_scan_r70_b1.00_wc1.08_k1.10_r0.95
0.06827826404425158,0.0730608766309817,8.19339168531019,0.07636338472366333,119.0,0.06548495590686798,25159099254.007755,119.0,5.146152015493698,0.18739011052789353,-0.4890102781665683,1.0,0.09816212257896145,29.89,1.62,9.68,15.681600000000001,70.0,0.08794903050875291,0.0,0.1549089252948761,0.0,0.125,0.0,0.04529325912396113,refine_r_scan_r70_b0.98_wc1.08_k0.88_r1.00
0.06992870987225122,0.07442241627538955,8.391445184670147,0.06889045238494873,119.0,0.06192068258921305,25162169893.43644,119.0,3.065708705357143,0.18401593019408416,-0.49341882792385455,1.0,0.09824094567730585,29.89,1.62,10.559999999999999,17.1072,59.5,0.05310103943338618,0.0,0.12198256701231003,0.0,0.0,0.0,0.04354929427305857,refine_r_scan_r70_b0.98_wc1.08_k0.96_r0.85
0.06972841651693784,0.07397690557643975,8.367409982032541,0.0689355731010437,119.0,0.06306743621826172,25168274594.80545,119.0,4.324403394170168,0.1855424410807831,-0.4957904980261934,1.0,0.09835783869366577,27.45,1.62,11.0,17.82,59.5,0.031809722539037466,0.0,0.1563454419374466,0.0,0.0,0.0,0.04473832001288732,refine_r_scan_r70_b0.90_wc1.08_k1.00_r0.85
0.06813502401136967,0.07373931047564,8.176202881364361,0.07565784454345703,119.0,0.06512786448001862,25162624087.34927,119.0,14.780712480304622,0.1885676462823143,-0.5127623015573388,1.0,0.09863179123421498,32.940000000000005,1.62,11.0,17.82,78.4,0.08613053266890347,0.0,0.1219676062464714,0.0,0.0,0.0,0.04431441674629847,refine_r_scan_r70_b1.08_wc1.08_k1.00_r1.12
0.06861653192522492,0.07297452208915836,8.23398383102699,0.07492518424987793,119.0,0.06729672352472942,25169364790.708206,119.0,6.201541163340337,0.1886181213113164,-0.49116063160082946,1.0,0.09866810830227912,29.89,1.62,12.100000000000001,19.602000000000004,70.0,0.05288273748010397,0.0,0.15525242686271667,0.0,0.0,0.0,0.046762811640898384,refine_r_scan_r70_b0.98_wc1.08_k1.10_r1.00
0.0677339312156903,0.07346503391340875,8.128071745882835,0.07440876960754395,119.0,0.06850020090738933,25167713765.280525,119.0,22.03865628282563,0.18765242080742042,-0.5246833456289769,1.0,0.0987192236985138,32.940000000000005,1.62,9.68,15.681600000000001,78.4,0.04182107048109174,0.0,0.11292331665754318,0.0,0.0,0.0,0.04654759665330251,refine_r_scan_r70_b1.08_wc1.08_k0.88_r1.12
0.06910527639833883,0.07331176861255691,8.292633167800659,0.07007449865341187,119.0,0.0655092050631841,25177131336.592007,119.0,5.22327993697479,0.18918343748114655,-0.5035117603157523,1.0,0.09876545261879406,27.45,1.62,11.0,17.82,66.5,0.011322102975100279,0.0,0.16272495687007904,0.0,0.0,0.0,0.04635445028543472,refine_r_scan_r70_b0.90_wc1.08_k1.00_r0.95
0.0713899616452314,0.07798926136460535,8.566795397427768,0.06034904718399048,119.0,0.05063381294409434,25159133039.83532,119.0,19.195636653098738,0.18319811651036916,-0.5125171605242727,1.0,0.09877452926779928,30.5,1.5,9.68,14.52,78.4,0.08078214805573225,0.0,0.08606170117855072,0.0,0.0,0.0,0.035665626327196755,refine_r_scan_r70_b1.00_wc1.00_k0.88_r1.12
