time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,applied_r,applied_b0,applied_omega_c,applied_k
3.9166666666666665,x,gym_env,1.8614710569381714,-0.7882799506187439,0.009250848554074764,-0.04075926914811134,0.041822224855422974,-0.012013711035251617,-3.131535291671753,-0.07838162034749985,0.24724559485912323,0.44999998807907104,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5424779295921325,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
3.9375,x,gym_env,1.862152099609375,-0.7878141403198242,0.009220225736498833,0.05162935331463814,-0.023847319185733795,-0.008474702015519142,3.101116418838501,0.06917248666286469,0.2101256102323532,0.4374999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5332097172737122,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
3.958333333333333,x,gym_env,1.8616727590560913,-0.7884793281555176,0.009280147962272167,-0.05481523647904396,0.004874207079410553,-0.00440209498628974,-3.0777194499969482,-0.04689173772931099,0.17389532923698425,0.42499998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5673203349113465,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
3.9791666666666665,x,gym_env,1.8618515729904175,-0.7876332402229309,0.0093228192999959,0.052343521267175674,0.016225699335336685,-0.00033758723293431103,3.059725761413574,0.015778539702296257,0.13807711005210876,0.41249996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5603695631027221,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.0,x,gym_env,1.8619993925094604,-0.7884626984596252,0.009362290613353252,-0.04564902186393738,-0.03332396224141121,0.004018051084131002,-3.063732385635376,0.02167114056646824,0.10242469608783722,0.3999999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5876707077026366,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.020833333333333,x,gym_env,1.8615403175354004,-0.7877621650695801,0.009409443475306034,0.03065180592238903,0.04799133911728859,0.008090783841907978,3.0816004276275635,-0.051098402589559555,0.06684604287147522,0.38749998807907104,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5944588422775268,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.041666666666666,x,gym_env,1.8622483015060425,-0.7881866097450256,0.009400582872331142,-0.0014477025251835585,-0.05435359850525856,-0.006744255777448416,-3.1075820922851562,0.0740138590335846,0.030198585242033005,0.3749999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6027405858039856,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.0625,x,gym_env,1.8614027500152588,-0.7880367636680603,0.009415418840944767,-0.018310872837901115,0.05238275229930878,-0.0012624425580725074,-3.1406750679016113,-0.08241236954927444,-0.008391362614929676,0.36249998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6269678473472595,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.083333333333333,x,gym_env,1.8622357845306396,-0.7878411412239075,0.009440054185688496,0.03616004064679146,-0.043843429535627365,0.0033757800702005625,3.1049561500549316,0.07264292240142822,-0.04665348306298256,0.34999996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6218021273612977,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.104166666666666,x,gym_env,1.8615695238113403,-0.7883314490318298,0.009467212483286858,-0.048836905509233475,0.028075216338038445,0.006785105913877487,-3.0800588130950928,-0.04803163558244705,-0.08296400308609009,0.3374999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6553632259368896,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
