time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,stage_index,active_param_set,switched_r,switched_b0,switched_omega_c,switched_k
3.6875,x,gym_env,1.868150234222412,6.136795946076745e-06,0.013489842414855957,1.5219667375276913e-06,5.357825557439355e-06,1.26948562773066e-10,-3.141572952270508,-2.8019314868288347e-06,-3.1413533687591553,0.5874999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.3706504940986632,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.708333333333333,x,gym_env,1.868150234222412,6.248416866583284e-06,0.013489842414855957,1.5219601436911034e-06,5.357769168767845e-06,1.2695253182037902e-10,-3.141572952270508,-2.8019312594551593e-06,-3.1413509845733643,0.574999988079071,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.3831504225730895,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.7291666666666665,x,gym_env,1.868150234222412,6.36003642284777e-06,0.013489842414855957,1.5219534361676779e-06,5.357712780096335e-06,1.269594013253439e-10,-3.141572952270508,-2.801931032081484e-06,-3.1413486003875732,0.5625,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.3956504702568053,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.75,x,gym_env,1.868150234222412,6.471654614870204e-06,0.013489842414855957,1.5219467286442523e-06,5.357656391424825e-06,1.2696335649486912e-10,-3.141572952270508,-2.8019308047078084e-06,-3.141345977783203,0.5499999523162842,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.4081506371498107,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.770833333333333,x,gym_env,1.8681503534317017,6.583271897397935e-06,0.013489842414855957,1.5219400211208267e-06,5.3576000027533155e-06,1.2696725615324311e-10,-3.141572952270508,-2.8019308047078084e-06,-3.141343593597412,0.5374999642372131,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.420650565624237,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.7916666666666665,x,gym_env,1.8681503534317017,6.6948878156836145e-06,0.013489842414855957,1.5219334272842389e-06,5.3575436140818056e-06,1.2697354279112005e-10,-3.141572952270508,-2.801930577334133e-06,-3.141341209411621,0.5249999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.4331506133079528,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.8125,x,gym_env,1.8681503534317017,6.806502369727241e-06,0.013489842414855957,1.5219267197608133e-06,5.3574876801576465e-06,1.269793159508481e-10,-3.141572952270508,-2.8019303499604575e-06,-3.141338586807251,0.512499988079071,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.4456506609916686,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.833333333333333,x,gym_env,1.8681503534317017,6.9181160142761655e-06,0.013489842414855957,1.5219200122373877e-06,5.357431291486137e-06,1.2697951023987741e-10,-3.141572952270508,-2.8019303499604575e-06,-3.14133620262146,0.4999999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.4581507086753844,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.8541666666666665,x,gym_env,1.8681504726409912,7.029728749330388e-06,0.013489842414855957,1.5219133047139621e-06,5.357374902814627e-06,1.2698528339960546e-10,-3.141572952270508,-2.801930122586782e-06,-3.141333818435669,0.48749998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.4706507563591003,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.875,x,gym_env,1.8681504726409912,7.141339665395208e-06,0.013489842414855957,1.5219067108773743e-06,5.357318514143117e-06,1.2699100104818228e-10,-3.141572952270508,-2.8019298952131066e-06,-3.141331434249878,0.47499996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.483150804042816,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
