mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score
0.0421018871136955,0.05526642661001902,2.52611322682173,0.03593596909195185,48.5,0.019900257165621348,1340042021.3706164,48.5,33.64980923927436,0.3158240778323101,-0.1565926166314921,187.0,0.95,6.984615,134004210.8795935
0.04210168983929341,0.05526637385462561,2.5261013903576046,0.03593254741281271,48.5,0.019898394132421043,1340041990.215334,48.5,33.64771956104343,0.31584219889493037,-0.1561111298321748,187.0,0.95,7.184615,134004207.76385362
0.04210256294496331,0.05526824122057192,2.5261537766977984,0.03592644282616675,48.5,0.019892320551055796,1340041504.850059,48.5,33.65449963585805,0.31583476878065275,-0.15683192996587697,187.0,1.3,6.784615,134004159.22801436
0.042102555912493886,0.05526823079967541,2.526153354749633,0.03592646820470691,48.5,0.019892338168574497,1340041504.2898173,48.5,33.654501704846396,0.31583477631934115,-0.15683196001491922,187.0,1.3,6.984615,134004159.1719903
0.04210267782667883,0.05526821745454928,2.5261606696007295,0.03592158202081919,48.5,0.019892804140302662,1340042456.0157523,48.5,33.64835887844279,0.31583721013270233,-0.15681273426864853,187.0,1.3,7.184615,134004254.34397106
0.04210493552301188,0.0552712969963273,2.526296131380713,0.03592056501656771,48.5,0.019889499419756852,1340042345.3251843,48.5,33.64751886917373,0.31582724640253923,-0.15642726082106134,187.0,1.65,6.784615,134004243.27485794
0.042105105221215224,0.05527135805930833,2.5263063132729133,0.03592065069824457,48.5,0.019890058950598664,1340042062.4706032,48.5,33.64769266419491,0.3158426039435752,-0.15615194556738984,187.0,1.65,6.984615,134004214.98941934
0.04210508678373151,0.05527133933329948,2.5263052070238903,0.03592048352584243,48.5,0.01988995972593936,1340042077.2178984,48.5,33.64766783633475,0.3158423761433456,-0.1561518518737578,187.0,1.65,7.184615,134004216.46414612
0.04210140780126492,0.05526595506311405,2.5260844680758954,0.03593374486081302,48.5,0.019899162628765527,1340042015.837928,48.5,33.647705078125,0.3158448598542972,-0.15611285476449432,205.7,0.95,6.784615,134004210.32610817
0.042101410759359734,0.05526594816741126,2.5260846455615837,0.03593414067290723,48.5,0.019899311795597896,1340042164.0929747,48.5,33.64775680283368,0.31584552972757785,-0.1561133740064597,205.7,0.95,6.984615,134004225.15161805
0.042101405209979875,0.055265939921363916,2.526084312598792,0.03593416092917323,48.5,0.01989932595946205,1340042160.711937,48.5,33.64775473384534,0.31584553516284436,-0.15611338576031966,205.7,0.95,7.184615,134004224.81351401
0.042102281876113215,0.05526764293328541,2.526136912566793,0.035928633995354176,48.5,0.019895401172107086,1340041982.3295429,48.5,33.64766369835805,0.3158212041534795,-0.15652201743849148,205.7,1.3,6.784615,134004206.97527604
