mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name,b0,omega_c,omega_o,k,score
0.13219596176294837,0.13816104476474575,12.690812329243045,0.0,95.0,0.16695227887895372,20436779948.93313,95.0,41.77288754111842,0.27316878909524556,-0.5505092076086284,gym_env,0.9001307189464569,0.0,0.38260355591773987,0.0,0.0,0.0,coarse_b35_wc7.5_wo18,35.0,7.5,18.0,2.4,0.16369202253304882
0.14088834895532187,0.14706031075027615,13.5252814997109,0.0,95.0,0.11100308762656318,20586651996.85092,95.0,71.32236842105263,0.2628662142712428,-0.5451980376934167,gym_env,0.6983158215880394,0.0,0.5790364146232605,0.0,0.0,0.0,coarse_b45_wc6.6_wo36,45.0,6.6,36.0,5.454545454545455,0.16390984241106132
0.1451109555192692,0.15083201652515957,13.930651729849842,0.0,95.0,0.17423135042190552,20294817390.764675,95.0,24.10167043585526,0.23361853421111928,-0.5799762690517275,gym_env,0.7816035896539688,0.0,0.24536752700805664,0.0,0.0,0.0,coarse_b40_wc6.6_wo24,40.0,6.6,24.0,3.6363636363636367,0.16657574543931172
0.13082544626204395,0.13707187882620941,12.55924284115622,0.0,95.0,0.13248625066545275,20625013276.216213,95.0,67.07587890625,0.31013082856356894,-0.5327239479373365,gym_env,1.1059786081314087,0.0,0.358651727437973,0.0,0.0,0.0,coarse_b40_wc7.5_wo24,40.0,7.5,24.0,3.2,0.1667312816645238
0.14382677413533193,0.14962303625834267,13.807370316991864,0.0,95.0,0.1488997671339247,20422460250.13818,95.0,39.4427734375,0.25219727561023075,-0.5624835827298619,gym_env,0.8459998965263367,0.0,0.2975676953792572,0.0,0.0,0.0,coarse_b45_wc6.6_wo31.68,45.0,6.6,31.68,4.8,0.16698521062958716
0.14424361775591166,0.15041809662057276,13.847387304567519,0.0,95.0,0.1998212668630812,20295268568.99465,95.0,14.79039370888158,0.23634727580736764,-0.5879225186081448,gym_env,0.3793885763734579,0.0,0.28304678201675415,0.0,0.0,0.0,coarse_b40_wc6.6_wo18,40.0,6.6,18.0,2.7272727272727275,0.16872619629795751
0.14067891442929437,0.1469451839107286,13.50517578521226,0.0,95.0,0.17316169871224296,20317532179.645615,95.0,14.158948396381579,0.2648001438122297,-0.5851582171247496,gym_env,0.11661437898874283,0.0,0.19926339387893677,0.0,0.0,0.0,coarse_b45_wc6.6_wo18,45.0,6.6,18.0,2.7272727272727275,0.1691284693704618
0.13277052123307223,0.1400890333353403,12.745970038374935,0.0,95.0,0.20790263017018637,20498266733.140892,95.0,34.73747944078947,0.28012472917993675,-0.5592959434946533,gym_env,0.5283907875418663,0.0,0.4715561866760254,0.0,0.0,0.0,coarse_b40_wc7.5_wo18,40.0,7.5,18.0,2.4,0.1694032141557471
0.12913424959431788,0.13656740566057016,12.396887961054517,0.0,95.0,0.19556824366251627,20518516504.431488,95.0,25.459431537828948,0.3023031531945769,-0.5814601522918946,gym_env,0.08643581275828183,0.0,0.4225121736526489,0.0,0.0,0.0,coarse_b45_wc7.5_wo18,45.0,7.5,18.0,2.4,0.16978193916492165
0.14610729804892486,0.15244843055596805,14.026300612696787,0.0,95.0,0.19767638709810045,20316593073.88771,95.0,23.30817742598684,0.24182669487461822,-0.5824188891695037,gym_env,0.6794477067887783,0.0,0.3137425184249878,0.0,0.0,0.0,coarse_b35_wc6.6_wo18,35.0,6.6,18.0,2.7272727272727275,0.1710133508054279
0.14590550162131186,0.15227152787423184,14.006928155645937,0.0,95.0,0.20439145300123426,20331783581.00286,95.0,22.789823190789473,0.24466928232386118,-0.5812995022123835,gym_env,0.5907345041632652,0.0,0.33447274565696716,0.0,0.0,0.0,coarse_b45_wc6.6_wo24,45.0,6.6,24.0,3.6363636363636367,0.17192683295979974
0.16523880635336496,0.17181267589388988,15.862925409923037,0.0,95.0,0.1894855433040195,20122257451.447144,95.0,11.00166015625,0.185375544232515,-0.5950016558981345,gym_env,0.49511612206697464,0.0,0.0695645809173584,0.0,0.0,0.0,coarse_b24_wc5.5_wo36,24.0,5.5,36.0,6.545454545454546,0.1744845250703583
0.16551860563058796,0.17222885019265763,15.889786140536444,0.0,95.0,0.19309093554814658,20123689270.064438,95.0,14.695471833881578,0.18344449988944267,-0.5587808895672516,gym_env,0.5239356309175491,0.0,0.04747355356812477,0.0,0.0,0.0,coarse_b18_wc5.5_wo36,18.0,5.5,36.0,6.545454545454546,0.1747087899453455
0.16529765681398345,0.17207086385667608,15.868575054142411,0.0,95.0,0.18821602397494847,20145302358.08879,95.0,18.879281455592107,0.18651805124161655,-0.5543513522257872,gym_env,0.4569520503282547,0.0,0.11550197750329971,0.0,0.0,0.0,coarse_b18_wc5.5_wo24,18.0,5.5,24.0,4.363636363636363,0.1747437931277425
0.16550448691128614,0.17221277055042522,15.888430743483468,0.0,95.0,0.19468453195359972,20123657218.13421,95.0,13.655268297697368,0.18376306677603071,-0.5812693114243913,gym_env,0.5052162110805511,0.0,0.07307203859090805,0.0,0.125,0.0,coarse_b18_wc5.5_wo31.68,18.0,5.5,31.68,5.76,0.17488207372824316
